Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
4431,Carnesecchi,P,Atalanta,18,80,3,crescente,0.25,32.7,5.3,5.4,5.65,B,B,A
2170,Milinkovic-Savic V.,P,Napoli,17,37,3,crescente,0.03,33.3,5.25,5.58,5.61,C,A,A
5841,Svilar,P,Roma,17,105,3,stabile,0.11,30.3,5.5,5.39,5.5,B,B,A
6966,Butez,P,Como,16,95,2,stabile,0.19,28,,5.22,5.41,,C,B
4312,Maignan,P,Milan,16,88,3,crescente,0.23,34.3,4.95,5.23,5.46,D,C,B
5876,Di Gregorio,P,Juventus,15,30,3,stabile,0.17,32,5.55,5.15,5.32,A,C,B
2134,Falcone,P,Lecce,15,35,3,altalenante,0.48,38,4.89,4.78,5.26,D,D,C
6462,Okoye,P,Udinese,14,14,3,altalenante,0.7,25.3,4.93,4.4,5.1,D,D,C
2428,Sommer,P,Inter,13,60,3,calante,-0.36,33.3,5.68,5.33,4.97,A,B,C
4360,Caprile,P,Cagliari,12,20,3,calante,-0.38,27.7,5.24,5.25,4.87,C,B,D
761,Audero,P,Cremonese,12,11,3,dato singolo,,15.3,5.25,3.62,4.82,,,D
2521,De Gea,P,Fiorentina,12,28,2,calante,-0.46,36,,5.43,4.97,,A,C
4957,Montipò,P,Verona,12,5,3,altalenante,0.46,36,5.0,4.43,4.89,D,D,D
133,Skorupski,P,Bologna,11,14,3,stabile,0.15,25.7,5.41,5.07,5.22,B,C,C
2814,Provedel,P,Lazio,11,15,3,altalenante,0.89,28.7,5.17,4.48,5.37,C,D,B
6641,Suzuki,P,Parma,11,8,2,stabile,0.02,28.5,,4.76,4.78,,D,D
188,Leali,P,Genoa,9,1,3,stabile,-0.23,17.7,5.0,5.12,4.89,,C,D
5320,Paleari,P,Torino,9,9,2,dato singolo,,15,,3.5,4.55,,,D
218,Perin,P,Juventus,8,10,3,dato singolo,,5.7,5.67,5.6,5.06,,,
572,Meret,P,Napoli,8,20,3,altalenante,-0.57,25.3,5.02,5.71,5.14,C,A,C
4867,Turati,P,Sassuolo,8,5,3,crescente,0.33,22.3,4.39,4.72,5.08,D,D,
5116,Martinez Jo.,P,Inter,5,1,3,dato singolo,,15.3,5.0,5.7,5.2,C,,
2722,Ravaglia F.,P,Bologna,4,3,3,calante,-0.5,11.7,6.5,4.79,4.29,,C,D
6403,Christensen O.,P,Fiorentina,2,1,2,dato singolo,,1.7,3.25,0.0,6.5,,,
4,Sportiello,P,Atalanta,1,1,3,dato singolo,,3.3,4.64,5.0,4.5,,,
219,Sommariva,P,Genoa,1,1,2,dato singolo,,1,0.0,6.0,3.75,,,
1926,Di Gennaro,P,Inter,1,1,2,dato singolo,,0.7,6.5,0.0,5.0,,,
2815,Terracciano,P,Milan,1,1,3,dato singolo,,12.7,5.32,5.33,6.0,B,,
574,Scuffet,P,Pisa,1,1,3,stabile,-0.13,17.3,4.34,4.21,4.07,D,D,
610,Gollini,P,Roma,1,1,2,dato singolo,,4.7,4.86,4.14,0.0,,,
543,Padelli,P,Udinese,1,1,2,dato singolo,,1,0.0,6.5,5.25,,,
6842,Sava,P,Udinese,1,1,2,dato singolo,,9.5,,4.62,3.43,,D,
511,Perilli,P,Verona,1,1,3,dato singolo,,2,5.5,5.0,3.67,,,
2211,Silvestri,P,Cremonese,1,1,3,dato singolo,,8.7,4.18,3.6,4.5,D,,
254,Dimarco,D,Inter,30,320,3,altalenante,0.78,32.3,7.18,6.91,7.69,A,A,A
2788,Bremer,D,Juventus,20,74,3,crescente,0.31,22.7,6.46,6.33,6.77,A,,A
5022,Pavlovic,D,Milan,17,60,2,crescente,0.5,28,,6.16,6.66,,C,A
6832,Palestra,D,Cagliari,16,75,2,dato singolo,,20,,6.17,6.39,,,B
6893,Kempf,D,Como,16,18,2,crescente,0.65,30.5,,5.85,6.5,,D,A
1852,Spinazzola,D,Napoli,16,33,3,altalenante,0.35,25.7,6.19,6.13,6.48,B,C,A
