Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
6980,Venturino,GEN,3,6.67,8.67,2,0,0,0,0,0,0,0
6228,Retegui,ATA,36,6.47,8.64,25,0,4,5,0,7,2,0
2097,Kean,FIO,32,6.5,8.16,19,0,1,2,0,2,6,0
2167,Orsolini,BOL,29,6.47,8.12,15,0,3,3,0,4,2,0
6967,Diao,COM,14,6.54,7.96,7,0,0,0,0,0,2,0
4730,Lookman,ATA,31,6.39,7.9,15,0,1,1,0,4,4,0
6984,Ondrejka,PAR,10,6.3,7.8,5,0,0,0,0,0,0,0
4871,Thuram,INT,32,6.33,7.75,14,0,0,0,0,4,1,0
5951,Kolo Muani,JUV,16,6.16,7.72,8,0,1,1,0,1,0,0
608,Zapata D.,TOR,7,6.5,7.71,3,0,0,0,0,0,1,0
4777,McTominay,NAP,34,6.5,7.6,12,0,0,0,0,3,3,0
309,Dybala,ROM,20,6.48,7.48,6,0,3,3,0,3,2,0
2531,Lukaku,NAP,36,6.18,7.46,14,0,3,4,0,9,4,0
2764,Martinez L.,INT,31,6.19,7.44,12,0,0,0,0,3,1,0
2423,Pulisic,MIL,34,6.34,7.44,11,0,3,4,0,8,1,0
4892,Saelemaekers,ROM,22,6.43,7.41,7,0,0,0,0,3,5,0
5564,Ndoye,BOL,30,6.43,7.3,8,0,2,2,0,4,4,0
2841,Vlahovic,JUV,25,6.02,7.28,10,0,4,4,0,3,3,0
5839,Kvaratskhelia,NAP,17,6.24,7.26,5,0,1,1,0,3,1,0
4677,Cornet,GEN,6,6.08,7.25,2,0,0,0,0,1,0,0
2489,Pedro,LAZ,28,6.18,7.23,10,0,2,2,0,1,3,0
6226,Castellanos,LAZ,29,6.34,7.22,10,0,2,3,0,3,7,1
4371,Raspadori,NAP,19,6.24,7.21,6,0,0,0,0,1,1,0
6224,Reijnders,MIL,37,6.31,7.18,10,0,0,0,0,4,2,1
6024,Sulemana I.,ATA,6,6.25,7.17,2,0,0,0,0,0,1,0
6675,Dovbyk,ROM,32,5.98,7.17,12,0,2,2,0,2,0,0
6112,Iling Junior,BOL,3,6.17,7.17,1,0,0,0,0,0,0,0
2369,Thauvin,UDI,24,6.27,7.15,8,0,1,3,0,3,0,0
4479,Elmas,TOR,13,6.23,7.15,4,0,0,0,0,0,0,0
6657,Gabrielloni,COM,4,6.25,7.12,1,0,0,0,0,1,1,0
6875,Paz N.,COM,33,6.53,7.11,6,0,0,1,0,7,6,0
4268,Arnautovic,INT,14,6.07,7.04,4,0,0,0,0,2,2,0
5734,Soule',ROM,23,6.24,7.04,5,0,0,0,0,5,3,0
6833,Mbangula,JUV,15,6.23,7.03,3,0,0,0,0,3,1,0
